group,metric,value,difference_from_reference,ratio_to_reference
central-west,coverage,0.8727598566308243,0.0,1.0
north,coverage,0.6,-0.27275985663082436,0.6874743326488706
northeast,coverage,0.8477951635846372,-0.024964693046187092,0.9713956905138144
south,coverage,0.8501316284317413,-0.022628228199083056,0.9740727898663484
southeast,coverage,0.8406626147062328,-0.03209724192459151,0.9632232833800368
central-west,expected_cost,14.686988430530889,-2.0409974185080024,0.8779890515853546
north,expected_cost,11.61524083194963,-5.112745017089262,0.6943597954213349
northeast,expected_cost,16.72798584903889,0.0,1.0
south,expected_cost,15.368953836541298,-1.3590320124975932,0.918756984566933
southeast,expected_cost,15.44272642253746,-1.2852594265014314,0.923167114194129
